species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Eidolon helvum,Chiroptera,Pteropodidae,254.61,164.36,1.08,,261.99,,60.83,1.0,-8.17,16.93,Eidolon helvum,610862,False
Eira barbara,Carnivora,Mustelidae,4134.99,66.74,2.14,11.4,216.0,1.77,94.46,2.0,-4.49,-72.54,Eira barbara,381140,False
Elaphodus cephalophus,Artiodactyla,Cervidae,23087.87,181.24,1.0,,,,,,27.88,109.18,Elaphodus cephalophus,57105,False
Elaphurus davidianus,Artiodactyla,Cervidae,165989.17,286.49,1.22,,279.6,,155.59,1.0,,,Elaphurus davidianus,1030869,False
Elasmodontomys obliquus,Rodentia,Heptaxodontidae,13700.0,,,,,,,,,,Elasmodontomys obliquus,3611121,False
Elephantulus brachyrhynchus,Macroscelidea,Macroscelididae,45.11,,1.54,,,33.09,,3.0,-12.52,26.13,Elephantulus brachyrhynchus,741348,False
Elephantulus edwardii,Macroscelidea,Macroscelididae,49.69,,1.8,,,1470.41,27.28,,-31.59,21.59,Elephantulus edwardii,604025,False
Elephantulus fuscipes,Macroscelidea,Macroscelididae,57.0,,0.96,,,,,,3.4,30.28,Elephantulus fuscipes,334238,False
Enhydra lutris,Carnivora,Mustelidae,27410.93,238.0,0.96,3.43,360.0,6.46,178.98,2.0,,,Enhydra lutris,949676,False
Eoglaucomys fimbriatus,Rodentia,Sciuridae,510.0,,3.74,,,,75.47,,33.0,73.9,Eoglaucomys fimbriatus,427317,False
Eolagurus luteus,Rodentia,Cricetidae,26.0,,7.5,,,,,,46.27,90.24,Eolagurus luteus,718975,False
Eolagurus przewalskii,Rodentia,Cricetidae,,,,,,,,,43.78,102.81,Eolagurus przewalskii,270179,False
Eonycteris major,Chiroptera,Pteropodidae,70.7,,1.0,,,,,1.0,2.05,113.96,Eonycteris major,505801,False
Eonycteris robusta,Chiroptera,Pteropodidae,78.36,,,,,,,,12.1,123.17,Eonycteris robusta,89715,False
Eonycteris spelaea,Chiroptera,Pteropodidae,58.7,152.18,1.0,,60.0,,59.95,2.0,10.04,101.56,Eonycteris spelaea,113372,False
Eospalax fontanierii,Rodentia,Spalacidae,256.76,,,,,,,,34.58,109.49,Eospalax fontanierii,45202,False
Eospalax rothschildi,Rodentia,Spalacidae,,,,,,,,,32.63,109.8,Eospalax rothschildi,45198,False
Eospalax smithii,Rodentia,Spalacidae,,,,,,,,,34.62,105.16,Eospalax smithii,459528,False
Eothenomys cachinus,Rodentia,Cricetidae,,,,,,,,,,,Eothenomys cachinus,155841,False
Eothenomys chinensis,Rodentia,Cricetidae,,,,,,,,,28.11,102.16,Eothenomys chinensis,1012597,False
Eothenomys custos,Rodentia,Cricetidae,,,,,,,,,27.57,100.01,Eothenomys custos,679210,False
Eothenomys melanogaster,Rodentia,Cricetidae,19.59,,1.8,,,,,,27.87,109.69,Eothenomys melanogaster,596085,False
Eothenomys miletus,Rodentia,Cricetidae,,,,,,,,,,,Eothenomys miletus,679219,False
Eothenomys olitor,Rodentia,Cricetidae,,,,,,,,,25.83,101.39,Eothenomys olitor,679208,False
Eothenomys proditor,Rodentia,Cricetidae,,,,,,,,,27.37,100.76,Eothenomys proditor,679215,False
Eothenomys wardi,Rodentia,Cricetidae,,,,,,,,,,,Eothenomys wardi,250920,False
Eozapus setchuanus,Rodentia,Dipodidae,,,,,,,,,32.52,103.63,Eozapus setchuanus,379324,False
Episoriculus caudatus,Soricomorpha,Soricidae,,,4.77,,,,,,29.86,91.17,Episoriculus caudatus,634073,False
