species_original_name,msw05_order,msw05_family,adultbodymass_g,gestationlen_d,littersize,homerange_km2,maxlongevity_m,populationdensity_n_km2,weaningage_d,trophiclevel,gr_midrangelat_dd,gr_midrangelong_dd,species_matched_name,open_tree_id,is_synonym
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,386.51,0.98,196.32,480.0,0.98,389.38,1.0,,,Camelus dromedarius,510752,False
Canis adustus,Carnivora,Canidae,10392.49,65.0,4.5,1.01,137.0,0.74,52.89,2.0,-6.0,13.0,Canis adustus,621176,False
Canis aureus,Carnivora,Canidae,9658.7,61.24,3.74,2.95,192.0,0.22,61.3,2.0,21.14,45.74,Canis aureus,621168,False
Canis latrans,Carnivora,Canidae,11989.1,61.74,5.72,18.88,262.0,0.25,43.71,3.0,39.7,-117.6,Canis latrans,247331,False
Canis lupus,Carnivora,Canidae,31756.51,63.5,4.98,159.86,354.0,0.01,44.82,3.0,47.38,3.9,Canis lupus,247341,False
Bos frontalis,Artiodactyla,Bovidae,800143.05,273.75,1.22,,314.4,0.54,186.67,1.0,15.43,91.12,Bos frontalis,96935,False
Bos grunniens,Artiodactyla,Bovidae,500000.0,273.75,1.0,,267.0,,243.33,1.0,34.27,87.57,Bos grunniens,381164,False
Bos javanicus,Artiodactyla,Bovidae,635974.34,296.78,1.22,,318.96,0.75,287.74,1.0,8.15,106.64,Bos javanicus,907672,False
Callicebus cupreus,Primates,Pitheciidae,1117.02,129.25,1.01,,,4.89,201.85,,-6.58,-68.25,Plecturocebus cupreus,34118,True
Callicebus discolor,Primates,Pitheciidae,,,,,,,,,,,Callicebus discolor,3607578,False
Callicebus donacophilus,Primates,Pitheciidae,897.67,,1.02,,,,,,-15.87,-62.37,Plecturocebus donacophilus,282614,True
Callicebus dubius,Primates,Pitheciidae,992.4,,1.02,,,,,,,,Callicebus dubius,3607587,False
Callicebus hoffmannsi,Primates,Pitheciidae,1067.61,,1.02,,,,,,-3.97,-57.04,Plecturocebus hoffmannsi,442910,True
Callicebus lucifer,Primates,Pitheciidae,,,,,,,,,,,Cheracebus lucifer,3607586,True
Callicebus lugens,Primates,Pitheciidae,,,,,,,,,,,Cheracebus lugens,927108,True
Callicebus medemi,Primates,Pitheciidae,,,,,,,,,-0.35,-75.56,Cheracebus medemi,3607588,True
Callicebus melanochir,Primates,Pitheciidae,,,,,,,,,-15.5,-39.59,Callicebus melanochir,3607582,False
Callicebus modestus,Primates,Pitheciidae,992.4,,1.02,,,,,,-14.96,-66.66,Plecturocebus modestus,3607580,True
Caluromys derbianus,Didelphimorphia,Didelphidae,326.72,,3.14,,60.0,11.86,,2.0,8.9,-87.48,Caluromys derbianus,307517,False
Caluromys lanatus,Didelphimorphia,Didelphidae,350.33,,,,60.0,,,2.0,-9.51,-65.29,Caluromys lanatus,606431,False
Caluromys philander,Didelphimorphia,Didelphidae,246.47,23.99,4.18,0.009960363,76.0,62.32,119.65,2.0,-6.19,-56.61,Caluromys philander,589460,False
Caluromysiops irrupta,Didelphimorphia,Didelphidae,257.48,,2.0,,94.0,8.85,,2.0,-11.01,-67.73,Caluromysiops irrupta,608047,False
Calyptophractus retusus,Cingulata,Dasypodidae,129.99,,,,144.0,,,2.0,-21.3,-61.11,Calyptophractus retusus,390325,False
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,397.99,1.39,,480.0,0.06,368.13,1.0,41.34,94.17,Camelus bactrianus,510768,False
Bos sauveli,Artiodactyla,Bovidae,791321.76,,,,,,,1.0,13.76,105.42,Bos sauveli,620923,False
Bos taurus,Artiodactyla,Bovidae,618642.42,280.48,,10.04,240.0,,,,13.46,108.04,Bos taurus,490099,False
Boselaphus tragocamelus,Artiodactyla,Bovidae,182253.04,248.49,1.39,,260.4,2.39,,1.0,22.35,78.0,Boselaphus tragocamelus,756060,False
Brachiones przewalskii,Rodentia,Muridae,,,,,,,,,39.16,90.0,Brachiones przewalskii,89265,False
Canis mesomelas,Carnivora,Canidae,8247.3,62.5,3.89,11.93,168.0,0.74,34.1,2.0,-9.18,31.56,Canis mesomelas,666235,False
Canis simensis,Carnivora,Canidae,14361.86,63.61,,4.2,,1.2,69.6,3.0,9.93,38.99,Canis simensis,752755,False
Cannomys badius,Rodentia,Spalacidae,472.07,41.49,2.0,,48.0,,50.1,,19.83,95.26,Cannomys badius,3610667,False
Cansumys canus,Rodentia,Cricetidae,,,,,,,,,33.34,108.94,Cansumys canus,3611180,False
Caperea marginata,Cetacea,Neobalaenidae,31999999.98,,0.98,,,,,,,,Caperea marginata,397243,False
Capra caucasica,Artiodactyla,Bovidae,58149.52,155.0,1.09,,264.0,,,,42.33,44.26,Capra caucasica,698611,False
Capra falconeri,Artiodactyla,Bovidae,54303.37,167.98,1.73,,168.0,,167.29,1.0,33.87,70.26,Capra falconeri,202967,False
Capra hircus,Artiodactyla,Bovidae,47386.47,156.0,1.45,98.3,249.6,7.58,158.04,1.0,,,Capra hircus,19017,False
Capra ibex,Artiodactyla,Bovidae,69546.83,167.5,1.11,,267.6,,111.75,1.0,45.83,10.13,Capra ibex,698617,False
Atelerix algirus,Erinaceomorpha,Erinaceidae,903.98,39.25,2.5,,84.0,,39.7,2.0,33.74,5.94,Atelerix algirus,805535,False
Atelerix frontalis,Erinaceomorpha,Erinaceidae,329.12,37.13,4.99,,,,34.8,2.0,-23.03,21.42,Atelerix frontalis,3614702,False
Atelerix sclateri,Erinaceomorpha,Erinaceidae,,,,,,,,,9.15,48.42,Atelerix sclateri,3614703,False
Ateles belzebuth,Primates,Atelidae,6692.42,138.2,1.02,2.28,336.0,13.49,,1.0,-0.44,-69.33,Ateles belzebuth,791705,False
Ateles chamek,Primates,Atelidae,7053.92,,,1.16,,3.39,,1.0,-7.01,-69.73,Ateles belzebuth chamek,814889,True
Ateles fusciceps,Primates,Atelidae,9067.94,224.7,1.01,,288.0,,482.7,1.0,6.44,-76.52,Ateles fusciceps,791687,False
Ateles geoffroyi,Primates,Atelidae,7582.4,226.37,1.01,0.73,327.6,19.06,816.35,1.0,12.38,-84.54,Ateles geoffroyi,791691,False
Ateles hybridus,Primates,Atelidae,,,,,,,,,8.8,-70.82,Ateles hybridus,645692,False
Ateles marginatus,Primates,Atelidae,6229.28,,,,,,,1.0,-4.69,-56.01,Ateles marginatus,3607557,False
Ateles paniscus,Primates,Atelidae,8697.25,228.18,1.0,1.36,453.6,8.0,805.41,2.0,2.06,-56.14,Ateles paniscus,217258,False
Callicebus moloch,Primates,Pitheciidae,958.13,164.0,1.01,0.02,303.6,18.43,58.85,2.0,-7.7,-53.24,Plecturocebus moloch,842880,True
Callicebus nigrifrons,Primates,Pitheciidae,,,,,,,,,-20.4,-46.6,Callicebus nigrifrons,210741,False
Callicebus oenanthe,Primates,Pitheciidae,992.4,,1.02,,,,,,-5.57,-77.31,Plecturocebus oenanthe,3607577,True
Callicebus olallae,Primates,Pitheciidae,992.4,,1.02,,,,,,-14.96,-66.66,Plecturocebus olallae,3607581,True
Callicebus ornatus,Primates,Pitheciidae,,,,,,,,,3.28,-74.23,Callicebus ornatus,3607575,False
Callicebus pallescens,Primates,Pitheciidae,,,,,,,,,-18.84,-59.39,Plecturocebus pallescens,3607576,True
Callicebus personatus,Primates,Pitheciidae,1390.8,,1.01,0.03,,13.03,,1.0,-19.25,-41.33,Callicebus personatus,546503,False
Callicebus purinus,Primates,Pitheciidae,,,,,,,,,,,Cheracebus purinus,3607591,True
Callicebus regulus,Primates,Pitheciidae,,,,,,,,,,,Cheracebus regulus,3607583,True
Callicebus stephennashi,Primates,Pitheciidae,,,,,,,,,,,Plecturocebus stephennashi,3607574,True
Callicebus torquatus,Primates,Pitheciidae,1209.57,,1.01,0.11,,10.2,121.66,2.0,,,Cheracebus torquatus,1058663,True
Callimico goeldii,Primates,Cebidae,558.0,153.99,1.05,0.32,214.8,2.08,66.53,2.0,-5.33,-72.1,Callimico goeldii,489230,False
Callistomys pictus,Rodentia,Echimyidae,518.99,,,,,,,,-12.55,-38.55,Callistomys pictus,3609815,False
Callithrix acariensis,Primates,Cebidae,,,,,,,,,-9.62,-63.34,Mico acariensis,3607567,True
Callithrix argentata,Primates,Cebidae,382.92,,1.84,,201.6,7.52,,2.0,-3.09,-52.31,Mico argentatus,1015228,True
Callithrix aurita,Primates,Cebidae,386.2,140.0,2.0,0.08,,,,2.0,-23.15,-45.02,Callithrix aurita,341886,False
Callithrix chrysoleuca,Primates,Cebidae,,,,,,,,,-5.77,-59.43,Mico chrysoleucus,3607561,True
Callithrix emiliae,Primates,Cebidae,309.58,,,,,,,,-9.52,-54.7,Mico emiliae,488310,True
Callithrix flaviceps,Primates,Cebidae,372.97,140.0,2.0,0.22,,11.85,,2.0,-21.16,-41.96,Callithrix flaviceps,3607562,False
Callithrix geoffroyi,Primates,Cebidae,342.0,,,,,,,,-18.99,-41.38,Callithrix geoffroyi,683989,False
Callithrix humeralifera,Primates,Cebidae,374.99,,,0.1,180.0,28.32,99.01,2.0,-5.36,-57.95,Mico humeralifer,683993,True
Callithrix humilis,Primates,Cebidae,,,,,,,,,-6.45,-60.81,Callithrix humilis,298261,False
Callithrix intermedia,Primates,Cebidae,,,2.0,0.19,,19.97,,,-8.04,-59.95,Mico intermedius,3607563,True
Callithrix jacchus,Primates,Cebidae,290.21,144.0,2.31,0.02,201.6,508.18,60.24,2.0,-6.58,-40.28,Callithrix jacchus,1015223,False
Callithrix kuhlii,Primates,Cebidae,374.99,,,0.06,,59.0,,2.0,-15.62,-39.59,Callithrix kuhlii,947308,False
Callithrix leucippe,Primates,Cebidae,,,,,,,,,-4.63,-55.73,Mico leucippe,3607564,True
Callithrix manicorensis,Primates,Cebidae,,,,,,,,,-6.48,-60.85,Mico marcai,3607565,True
Callithrix marcai,Primates,Cebidae,,,,,,,,,-9.95,-60.16,Mico marcai,3607565,True
Callithrix mauesi,Primates,Cebidae,443.79,,,,,,,2.0,-3.2,-56.81,Mico mauesi,341884,True
Callithrix melanura,Primates,Cebidae,,,,,,,,,-14.23,-59.12,Mico melanurus,1031373,True
Callithrix nigriceps,Primates,Cebidae,401.12,,2.0,,,,,2.0,-7.49,-62.09,Mico nigriceps,3607568,True
Callithrix penicillata,Primates,Cebidae,339.98,,2.0,0.01,,,,,-12.68,-46.24,Callithrix penicillata,341908,False
Callithrix pygmaea,Primates,Cebidae,123.94,134.44,1.93,0.002117904,181.2,15.9,90.73,2.0,-5.96,-69.94,Callithrix pygmaea,489225,False
Callithrix saterei,Primates,Cebidae,,,,,,,,,-5.14,-58.84,Mico saterei,172747,True
Callorhinus ursinus,Carnivora,Otariidae,55464.82,358.49,1.04,,420.0,18.0,108.69,2.0,,,Callorhinus ursinus,949693,False
Callosciurus adamsi,Rodentia,Sciuridae,208.72,,1.94,,,,,2.0,3.84,115.59,Callosciurus adamsi,3609167,False
Callosciurus albescens,Rodentia,Sciuridae,,,,,,,,,-0.14,100.63,Callosciurus albescens,3609164,False
Callosciurus baluensis,Rodentia,Sciuridae,323.91,,3.0,,,,,2.0,4.87,115.82,Callosciurus baluensis,3609166,False
Callosciurus caniceps,Rodentia,Sciuridae,264.91,,2.19,0.01,114.0,18.6,,,11.44,100.36,Callosciurus caniceps,504021,False
Callosciurus erythraeus,Rodentia,Sciuridae,283.23,,1.94,0.008950755,193.2,622.69,,1.0,19.18,105.37,Callosciurus erythraeus,1030044,False
Callosciurus finlaysonii,Rodentia,Sciuridae,,,,,,,,,14.39,102.72,Callosciurus finlaysonii,371121,False
Callosciurus inornatus,Rodentia,Sciuridae,,,,,,,,,20.43,103.39,Callosciurus inornatus,3609162,False
Callosciurus melanogaster,Rodentia,Sciuridae,296.0,,,,,,,2.0,-1.88,99.4,Callosciurus melanogaster,3609165,False
Callosciurus nigrovittatus,Rodentia,Sciuridae,208.3,,2.36,0.01,,5.75,,2.0,-0.56,107.22,Callosciurus nigrovittatus,371119,False
Callosciurus notatus,Rodentia,Sciuridae,209.49,,2.62,0.02,115.2,98.32,,2.0,0.23,107.22,Callosciurus notatus,1030052,False
Callosciurus orestes,Rodentia,Sciuridae,323.91,,3.0,,,,,2.0,4.02,115.85,Callosciurus orestes,246726,False
Callosciurus phayrei,Rodentia,Sciuridae,,,,,,,,,20.98,98.29,Callosciurus phayrei,3609161,False
Callosciurus prevostii,Rodentia,Sciuridae,400.0,46.08,1.29,,68.0,,,2.0,0.55,107.22,Callosciurus prevostii,1030040,False
Callosciurus pygerythrus,Rodentia,Sciuridae,,,,,,,,,22.08,97.16,Callosciurus pygerythrus,3609168,False
Callosciurus quinquestriatus,Rodentia,Sciuridae,,,,,,,,,24.71,98.22,Callosciurus quinquestriatus,3609163,False
Calomys boliviae,Rodentia,Cricetidae,27.0,,,,,,,,-19.8,-65.04,Calomys boliviae,3608240,False
Calomys callidus,Rodentia,Cricetidae,27.0,,,,,,,,,,Calomys callidus,893847,False
Calomys callosus,Rodentia,Cricetidae,44.95,21.8,4.91,,,354.3,18.33,,,,Calomys callosus,39187,False
Calomys expulsus,Rodentia,Cricetidae,39.86,,,,,1195.79,,,,,Calomys expulsus,473784,False
Calomys hummelincki,Rodentia,Cricetidae,27.0,,,,,,,,8.87,-66.6,Calomys hummelincki,654348,False
Calomys laucha,Rodentia,Cricetidae,14.0,25.0,5.3,,,,,2.0,-27.11,-59.82,Calomys laucha,39185,False
Calomys lepidus,Rodentia,Cricetidae,20.59,,4.29,,,,,,-16.37,-70.61,Calomys lepidus,360776,False
Calomys musculinus,Rodentia,Cricetidae,20.2,20.97,6.27,,,253.33,,2.0,-31.61,-63.02,Calomys musculinus,39183,False
Calomys sorellus,Rodentia,Cricetidae,20.0,,,,,,,,-11.55,-74.89,Calomys sorellus,360774,False
Calomys tener,Rodentia,Cricetidae,13.8,,,,,,,,-18.65,-44.63,Calomys tener,990309,False
Calomys tocantinsi,Rodentia,Cricetidae,,,,,,,,,,,Calomys tocantinsi,178057,False
Calomys venustus,Rodentia,Cricetidae,49.33,,,,,,,,,,Calomys venustus,463094,False
Calomyscus bailwardi,Rodentia,Calomyscidae,21.38,,4.0,,,354.3,,,31.58,51.23,Calomyscus bailwardi,611276,False
Calomyscus baluchi,Rodentia,Calomyscidae,,,,,,,,,32.11,68.4,Calomyscus baluchi,99511,False
Calomyscus elburzensis,Rodentia,Calomyscidae,,,,,,,,,36.22,57.72,Calomyscus elburzensis,3608194,False
Calomyscus grandis,Rodentia,Calomyscidae,,,,,,,,,,,Calomyscus grandis,3608193,False
Calomyscus hotsoni,Rodentia,Calomyscidae,,,,,,,,,26.77,64.92,Calomyscus hotsoni,458712,False
Calomyscus mystax,Rodentia,Calomyscidae,,,4.99,,,,,,,,Calomyscus mystax,55942,False
Calomyscus tsolovi,Rodentia,Calomyscidae,,,,,,,,,32.62,36.09,Calomyscus tsolovi,3608192,False
Calomyscus urartensis,Rodentia,Calomyscidae,,,,,,,,,39.04,45.41,Calomyscus urartensis,3608195,False
Caloprymnus campestris,Diprotodontia,Potoroidae,927.57,,1.0,,156.0,,,,,,Caloprymnus campestris,83202,False
Atelocynus microtis,Carnivora,Canidae,8363.22,,,,132.0,,,3.0,-13.76,-61.08,Atelocynus microtis,621172,False
Atherurus africanus,Rodentia,Hystricidae,2875.65,108.18,1.5,0.12,274.8,,45.37,2.0,-0.05,10.01,Atherurus africanus,276723,False
Atherurus macrourus,Rodentia,Hystricidae,2000.0,,1.5,,,,,2.0,12.72,101.69,Atherurus macrourus,173065,False
Atilax paludinosus,Carnivora,Herpestidae,3600.16,77.27,2.0,1.73,209.0,,35.89,2.0,-8.88,12.52,Atilax paludinosus,750141,False
Atlantoxerus getulus,Rodentia,Sciuridae,250.57,,,,108.0,,,,31.63,-6.64,Atlantoxerus getulus,327763,False
Auliscomys boliviensis,Rodentia,Cricetidae,70.91,,3.4,,,,,,-17.39,-68.49,Auliscomys boliviensis,150621,False
Auliscomys pictus,Rodentia,Cricetidae,48.97,,,,,232.95,,,-14.02,-71.81,Auliscomys pictus,360772,False
Auliscomys sublimis,Rodentia,Cricetidae,38.0,,,,,,,,-19.09,-68.78,Auliscomys sublimis,739479,False
Avahi laniger,Primates,Indriidae,1092.28,136.15,1.01,0.01,,84.85,149.15,1.0,-19.63,48.51,Avahi laniger,516002,False
Avahi occidentalis,Primates,Indriidae,828.98,,1.02,0.01,,66.99,,1.0,-17.38,46.11,Avahi occidentalis,563621,False
Avahi unicolor,Primates,Indriidae,,,,,,,,,-14.12,48.3,Avahi unicolor,132960,False
Axis axis,Artiodactyla,Cervidae,69499.99,227.49,1.01,0.67,249.6,6.69,121.66,,17.25,81.46,Axis axis,906317,False
Axis calamianensis,Artiodactyla,Cervidae,39812.6,224.0,2.0,,,,,,11.99,120.09,Axis calamianensis,3611944,False
Axis kuhlii,Artiodactyla,Cervidae,54999.99,227.49,1.22,,,4.44,,1.0,-5.79,112.64,Axis kuhlii,118577,False
Axis porcinus,Artiodactyla,Cervidae,37448.29,220.13,1.0,0.52,240.0,16.5,,1.0,20.57,87.7,Axis porcinus,525302,False
Babyrousa babyrussa,Artiodactyla,Suidae,92950.09,156.5,1.73,,288.0,,212.91,2.0,-2.73,125.8,Babyrousa babyrussa,773454,False
Babyrousa bolabatuensis,Artiodactyla,Suidae,,,,,,,,,,,Babyrousa bolabatuensis,3611401,False
Babyrousa celebensis,Artiodactyla,Suidae,,,,,,,,,-1.37,122.55,Babyrousa celebensis,3611403,False
Balaenoptera musculus,Cetacea,Balaenopteridae,154321304.5,326.97,1.0,,1320.0,,211.71,3.0,,,Balaenoptera musculus,226190,False
Balaenoptera physalus,Cetacea,Balaenopteridae,47506008.23,338.36,1.01,,1392.0,,196.58,3.0,,,Balaenoptera physalus,226193,False
Balantiopteryx infusca,Chiroptera,Emballonuridae,,,,,,,,,-0.64,-79.63,Balantiopteryx infusca,432529,False
Balantiopteryx io,Chiroptera,Emballonuridae,3.97,,1.0,,,,,,16.9,-92.3,Balantiopteryx io,432520,False
Balantiopteryx plicata,Chiroptera,Emballonuridae,6.57,138.81,0.99,,,,58.59,3.0,18.24,-90.93,Balantiopteryx plicata,75168,False
Balionycteris maculata,Chiroptera,Pteropodidae,14.43,,1.0,,,,,1.0,0.57,107.22,Balionycteris maculata,37727,False
Bandicota bengalensis,Rodentia,Muridae,226.99,18.89,7.29,,,,30.03,,20.06,82.02,Bandicota bengalensis,106786,False
Bandicota indica,Rodentia,Muridae,583.09,20.26,6.12,,,,27.3,,20.02,92.13,Bandicota indica,836346,False
Cephalophus niger,Artiodactyla,Bovidae,19094.32,126.0,1.0,,122.04,1.14,89.49,2.0,6.79,-3.26,Cephalophus niger,436153,False
Cephalophus nigrifrons,Artiodactyla,Bovidae,14676.33,,,,236.4,2.0,,1.0,-2.36,23.24,Cephalophus nigrifrons,436155,False
Cephalophus ogilbyi,Artiodactyla,Bovidae,18386.42,121.66,1.0,0.07,,,,,1.84,9.31,Cephalophus ogilbyi,436163,False
Cephalophus rufilatus,Artiodactyla,Bovidae,12114.57,233.99,1.0,,114.0,3.18,85.59,2.0,9.41,7.03,Cephalophus rufilatus,962019,False
Cephalophus silvicultor,Artiodactyla,Bovidae,62006.6,234.43,1.0,,207.96,0.5,34.9,2.0,-1.89,10.29,Cephalophus silvicultor,380144,False
Cephalophus spadix,Artiodactyla,Bovidae,56857.02,,,,65.04,,,1.0,-6.04,36.08,Cephalophus spadix,962017,False
Cephalophus weynsi,Artiodactyla,Bovidae,,,,,183.0,,,,-0.83,26.72,Cephalophus weynsi,962015,False
Cephalophus zebra,Artiodactyla,Bovidae,15654.75,223.89,1.0,,146.04,,13.64,2.0,6.45,-8.64,Cephalophus zebra,962013,False
Cephalorhynchus commersonii,Cetacea,Delphinidae,72400.0,,0.98,,216.0,,,3.0,,,Cephalorhynchus commersonii,1094144,False
Cephalorhynchus eutropia,Cetacea,Delphinidae,45000.0,,0.97,,,,,3.0,,,Cephalorhynchus eutropia,251469,False
Cephalorhynchus heavisidii,Cetacea,Delphinidae,39999.99,,0.97,,,,,,,,Cephalorhynchus heavisidii,860906,False
Cephalorhynchus hectori,Cetacea,Delphinidae,49999.99,,1.0,,240.0,,355.65,3.0,,,Cephalorhynchus hectori,418486,False
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.43,534.19,1.0,19.09,600.0,0.47,365.0,1.0,-10.08,26.25,Ceratotherium simum,1034198,False
Cercartetus caudatus,Diprotodontia,Burramyidae,23.05,,2.37,,38.4,49.99,76.04,2.0,-9.58,142.35,Cercartetus caudatus,277691,False
Cercartetus concinnus,Diprotodontia,Burramyidae,15.96,52.14,4.6,,,,49.99,,-33.82,128.64,Cercartetus concinnus,810548,False
Cercartetus lepidus,Diprotodontia,Burramyidae,8.03,,3.33,,,,89.99,2.0,-38.97,142.44,Cercartetus lepidus,810556,False
Cercartetus nanus,Diprotodontia,Burramyidae,26.85,,3.96,0.005564565,96.0,788.66,62.5,2.0,-35.06,146.65,Cercartetus nanus,810555,False
Cercocebus agilis,Primates,Cercopithecidae,7105.62,,,,,,,,3.9,21.14,Cercocebus agilis,363077,False
Cercocebus atys,Primates,Cercopithecidae,6941.24,165.08,1.01,,321.6,8.85,,,7.92,-7.2,Cercocebus atys,268349,False
Cercocebus chrysogaster,Primates,Cercopithecidae,,,,,,,,,-2.7,21.27,Cercocebus chrysogaster,554545,False
Cercocebus galeritus,Primates,Cercopithecidae,7077.66,174.43,1.01,0.51,252.0,70.11,,1.0,-2.1,40.05,Cercocebus galeritus,268347,False
Cercocebus sanjei,Primates,Cercopithecidae,,,,,,,,,-8.63,36.56,Cercocebus sanjei,3607602,False
Cercocebus torquatus,Primates,Cercopithecidae,7293.07,168.98,1.01,,360.0,40.15,,1.0,4.2,-1.82,Cercocebus torquatus,268353,False
Cercopithecus albogularis,Primates,Cercopithecidae,,,1.02,0.13,,,,2.0,-12.6,36.01,Cercopithecus albogularis,311705,False
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,148.5,1.01,0.16,339.6,105.79,146.54,2.0,-2.71,23.8,Cercopithecus ascanius,203184,False
Cercopithecus campbelli,Primates,Cercopithecidae,3627.73,180.8,1.02,0.01,396.0,,362.93,1.0,8.53,-12.15,Cercopithecus campbelli,140251,False
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,169.51,1.01,0.24,276.0,21.04,362.93,2.0,-0.42,13.66,Cercopithecus cephus,268334,False
Cercopithecus denti,Primates,Cercopithecidae,,,1.02,,,,,,0.55,27.01,Cercopithecus denti,198616,False
Cercopithecus diana,Primates,Cercopithecidae,4358.91,,1.01,1.25,447.6,16.47,362.93,2.0,6.65,-9.45,Cercopithecus diana,203187,False
Cercopithecus doggetti,Primates,Cercopithecidae,,,,,,,,,-2.3,30.32,Cercopithecus doggetti,3607605,False
Cercopithecus dryas,Primates,Cercopithecidae,2784.06,,1.02,,,,,,-1.59,22.85,Cercopithecus dryas,3607607,False
Cercopithecus erythrogaster,Primates,Cercopithecidae,3444.88,,1.02,,,,,2.0,6.06,4.15,Cercopithecus erythrogaster,179316,False
Cercopithecus erythrotis,Primates,Cercopithecidae,3254.98,,1.02,,,,,2.0,4.97,9.67,Cercopithecus erythrotis,623302,False
Cercopithecus hamlyni,Primates,Cercopithecidae,,,,,,,,,-1.75,27.54,Cercopithecus hamlyni,268332,False
Cercopithecus kandti,Primates,Cercopithecidae,,,,,,,,,-2.16,29.22,Cercopithecus kandti,3607604,False
Cercopithecus lhoesti,Primates,Cercopithecidae,5307.47,,1.0,,192.0,4.99,,2.0,-1.13,28.05,Allochrocebus lhoesti,954691,True
Cercopithecus lowei,Primates,Cercopithecidae,,,,,,,,,6.3,-4.04,Cercopithecus lowei,3607603,False
Cercopithecus mitis,Primates,Cercopithecidae,5041.29,138.39,1.0,0.1,325.2,70.39,688.08,2.0,-1.9,25.48,Cercopithecus mitis,203191,False
Cercopithecus mona,Primates,Cercopithecidae,3980.17,,1.0,,360.0,,,,6.83,6.22,Cercopithecus mona,918231,False
Cercopithecus neglectus,Primates,Cercopithecidae,5324.52,172.07,1.02,0.06,315.6,29.03,417.62,2.0,-1.11,22.96,Cercopithecus neglectus,918233,False
Cercopithecus nictitans,Primates,Cercopithecidae,5256.91,169.51,1.0,1.15,276.0,22.5,,2.0,1.69,7.96,Cercopithecus nictitans,203154,False
Cercopithecus petaurista,Primates,Cercopithecidae,3233.67,,1.02,,228.0,25.95,,,8.93,-7.5,Cercopithecus petaurista,949841,False
Cercopithecus pogonias,Primates,Cercopithecidae,3578.27,169.51,1.01,1.15,289.2,19.04,,2.0,1.53,16.03,Cercopithecus pogonias,80548,False
Cercopithecus preussi,Primates,Cercopithecidae,5132.57,,1.02,,,,,2.0,4.78,9.17,Allochrocebus preussi,283455,True
Cercopithecus roloway,Primates,Cercopithecidae,,,,,,,,,5.97,-3.86,Cercopithecus roloway,699219,False
Cercopithecus sclateri,Primates,Cercopithecidae,3067.29,,1.02,,,,,,5.4,7.5,Cercopithecus sclateri,3607606,False
Cercopithecus solatus,Primates,Cercopithecidae,5256.91,,1.01,,,,,,-0.8,11.92,Allochrocebus solatus,807150,True
Cercopithecus wolfi,Primates,Cercopithecidae,3255.18,,1.02,,,,,,-1.87,23.78,Cercopithecus wolfi,375164,False
Cerdocyon thous,Carnivora,Canidae,5741.66,57.18,3.09,1.41,138.0,3.54,72.33,2.0,-11.22,-55.68,Cerdocyon thous,821960,False
Cervus elaphus,Artiodactyla,Cervidae,240867.13,235.61,1.09,58.42,321.6,2.9,104.64,1.0,46.41,8.4,Cervus elaphus,936014,False
Cervus nippon,Artiodactyla,Cervidae,52999.99,223.66,1.0,1.43,305.04,0.75,197.7,1.0,33.97,126.9,Cervus nippon,754809,False
Chaerephon aloysiisabaudiae,Chiroptera,Molossidae,,,,,,,,,3.85,14.59,Chaerephon aloysiisabaudiae,3613963,False
Chaerephon ansorgei,Chiroptera,Molossidae,,68.43,,,,,72.83,,-11.82,25.61,Chaerephon ansorgei,999061,False
Chaerephon bemmeleni,Chiroptera,Molossidae,,,,,,,,,1.4,13.55,Chaerephon bemmeleni,3613961,False
Chaerephon bivittatus,Chiroptera,Molossidae,15.42,,,,,,,,-2.12,35.1,Chaerephon bivittatus,3613970,False
Chaerephon bregullae,Chiroptera,Molossidae,,,,,,,,,-15.81,0.0,Chaerephon bregullae,3613969,False
Chaerephon chapini,Chiroptera,Molossidae,,,,,,,,,0.88,24.96,Chaerephon chapini,661833,False
Chaerephon gallagheri,Chiroptera,Molossidae,,,,,,,,,-3.14,25.77,Chaerephon gallagheri,3613930,False
Chaerephon jobensis,Chiroptera,Molossidae,20.71,,,,,,,3.0,-14.35,132.63,Chaerephon jobensis,661824,False
Chaerephon johorensis,Chiroptera,Molossidae,,,,,,,,3.0,3.81,101.21,Chaerephon johorensis,3613967,False
Chaerephon leucogaster,Chiroptera,Molossidae,,,,,,,,,-5.85,21.33,Chaerephon leucogaster,943303,False
Chaerephon major,Chiroptera,Molossidae,15.17,,1.0,,,,,,4.7,11.02,Chaerephon major,3613964,False
Chaerephon nigeriae,Chiroptera,Molossidae,20.14,,,,,,,,-5.95,22.79,Chaerephon nigeriae,661827,False
Chaerephon plicatus,Chiroptera,Molossidae,21.83,88.64,0.99,,,,,3.0,11.03,98.88,Chaerephon plicatus,682737,False
Chaerephon pumilus,Chiroptera,Molossidae,10.98,62.57,1.0,,60.0,,24.5,3.0,-8.8,16.36,Chaerephon pumilus,1079628,False
Chaerephon russatus,Chiroptera,Molossidae,16.98,,0.99,,,,,,3.05,17.17,Chaerephon russatus,3613962,False
Chaerephon shortridgei,Chiroptera,Molossidae,,,,,,,,,-14.97,23.74,Chaerephon shortridgei,3613966,False
Chaerephon solomonis,Chiroptera,Molossidae,,,,,,,,,-7.58,158.14,Chaerephon solomonis,3613973,False
