canonical_taxon_id,phylo_dim_1,phylo_dim_2,phylo_dim_3,phylo_dim_4,phylo_dim_5,phylo_dim_6,phylo_dim_7,phylo_dim_8,phylo_dim_9,phylo_dim_10,phylo_dim_11,phylo_dim_12,phylo_dim_13,phylo_dim_14,phylo_dim_15,phylo_dim_16,phylo_dim_17,phylo_dim_18,phylo_dim_19,phylo_dim_20,phylo_dim_21,phylo_dim_22,phylo_dim_23,phylo_dim_24,phylo_dim_25,phylo_dim_26,phylo_dim_27,phylo_dim_28,phylo_dim_29,phylo_dim_30,phylo_dim_31,phylo_dim_32
abditomys_latidens,-149.97375412306224,-22.794519793181472,-4.847473711179625,2.5300527815294207,0.4872079905741911,-16.548957174664924,51.81511499460958,-0.0003199458421614168,0.00022213473244144758,-27.641813107456088,-0.003658238744853746,0.03462260179262254,7.34302580507242,-0.2253901376479595,0.0019688897688227565,5.247927860659677,0.23618041911561932,0.00028225591192496596,-0.17845808087461865,-9.480903637490465e-05,-0.0017899324625059482,0.0010893831122332394,-0.9580100368977698,-0.01921573691181811,0.0176104353351912,0.00018518373210929916,0.024975340140301148,-0.0810636964688532,-2.237555939623953e-06,-0.07754704100725425,-2.6920353024253323e-05,-0.0028784497285020074
abeomelomys_sevia,-149.97375412302418,-22.794519793179962,-4.847473711178574,2.530052781529858,0.4872079905812373,-16.54895717467001,51.8151149945848,-0.0003199458636155327,0.00022213472592698825,-27.6418131074533,-0.003658238767250444,0.03462260179301005,7.343025805074021,-0.2253901376494298,0.001968889752915274,5.247927860667152,0.23618041911802015,0.00028225591791890405,-0.1784580808851235,-9.480902239383625e-05,-0.0017899324642182137,0.0010893831375743395,-0.9580100369127185,-0.019215736911243234,0.01761043533093983,0.00018518375557197145,0.0249753401100271,-0.08106369643695371,-2.23753923673786e-06,-0.07754704095863024,-2.6920338972048503e-05,-0.0028784497060525705
abrawayaomys_ruschii,-150.89899698439183,-23.478196744099936,-5.491945152995943,3.9596083068837884,0.8236392864922982,-30.7342721232321,-44.98957194579846,-4.079338635537555e-05,4.507356746745943e-05,-13.666324066391589,-0.002395028704983798,0.023393466836730947,5.055256232742463,-0.1567551472145336,0.001380591214045686,3.7864877674075283,0.1736208340078011,0.0002082769341568878,-0.13336145969578206,-7.089768083691691e-05,-0.0013426606473679657,0.0008198507088581607,-0.7217835664927785,-0.014512775225065241,0.013316487898173126,0.00014009352824833018,0.01891182647344151,-0.06149757604740315,-1.6986323794807583e-06,-0.05888492866167969,-2.0488707010908637e-05,-0.0021908018856724256
abrocoma_bennettii,-146.85101229147514,-20.703668032326743,-3.445317310766271,1.1234200502322507,0.20160836633378945,-6.363307748294739,6.123033959746529,1.4074447622872348e-05,-1.7596813396082746e-05,10.854648609501389,0.004411916731549357,-0.05208591472546924,-12.894013658013789,0.43470026431915865,-0.004120542170589311,-15.50124533885853,-0.9461183878837713,-0.0012174213639922795,1.0330752427564438,0.0005587976609646383,0.011525596117390473,-0.007772403085894003,7.094247934926439,0.15514562906009752,-0.14886754604916574,-0.0015932439504060237,-0.22311731179047287,0.7839143531660382,2.2304167838606334e-05,0.7823295230066204,0.000303592156718733,0.032502495234832694
abrocoma_boliviensis,-146.8510122914751,-20.703668032332725,-3.445317310766108,1.1234200502309672,0.2016083663329192,-6.363307748290172,6.123033959734325,1.4074448380921804e-05,-1.7596813064515297e-05,10.854648609504858,0.004411916729600471,-0.05208591473079951,-12.89401365801191,0.43470026432378117,-0.004120542170609096,-15.501245338858197,-0.9461183878832378,-0.0012174213649924048,1.0330752427591954,0.0005587976612837684,0.011525596119206222,-0.007772403085826663,7.094247934926554,0.1551456290601768,-0.1488675460481637,-0.0015932439520350815,-0.2231173117919831,0.7839143531658356,2.230416969611833e-05,0.7823295230064904,0.000303592156847424,0.032502495236324896
abrocoma_cinerea,-146.8510122914751,-20.70366803233271,-3.445317310765587,1.1234200502315324,0.20160836633298515,-6.3633077482916045,6.123033959734989,1.4074448389019568e-05,-1.7596812660007974e-05,10.85464860950707,0.0044119167314550485,-0.052085914730752005,-12.894013658014929,0.43470026432452724,-0.004120542170176147,-15.501245338860725,-0.9461183878832141,-0.001217421365530417,1.0330752427591459,0.0005587976624758262,0.011525596116964057,-0.007772403085237103,7.094247934927368,0.15514562905999282,-0.1488675460489368,-0.0015932439523588208,-0.22311731179175023,0.7839143531653774,2.2304169439182196e-05,0.782329523006525,0.0003035921559124092,0.03250249523580981
abrothrix_andinus,-150.89899698439217,-23.47819674409332,-5.491945152993727,3.9596083068824464,0.8236392864927541,-30.73427212322619,-44.989571945815094,-4.079338466347564e-05,4.5073564483988734e-05,-13.666324066383217,-0.0023950287006404437,0.02339346683246033,5.055256232737307,-0.15675514721897688,0.0013805912198813122,3.7864877674014914,0.17362083400583248,0.00020827693482682386,-0.13336145969649013,-7.089768022964238e-05,-0.0013426606508272392,0.0008198507103699698,-0.7217835664893845,-0.014512775226705603,0.013316487897107819,0.00014009352219670012,0.01891182647635488,-0.061497576047362605,-1.6986299231366393e-06,-0.05888492866128403,-2.0488704973162052e-05,-0.0021908018858098365
abrothrix_illuteus,-150.89899698439217,-23.47819674409331,-5.491945152993751,3.9596083068822576,0.8236392864932759,-30.734272123226862,-44.989571945815165,-4.07933852677699e-05,4.507356409711883e-05,-13.666324066382918,-0.0023950287006647406,0.023393466833037363,5.055256232739148,-0.15675514721864545,0.0013805912185493431,3.7864877674039037,0.1736208340068863,0.00020827693479517984,-0.13336145969626959,-7.089768096147107e-05,-0.001342660650507731,0.0008198507095713954,-0.7217835664904654,-0.014512775227278053,0.0133164878968415,0.0001400935251332961,0.01891182647546438,-0.06149757604817609,-1.6986292426683457e-06,-0.05888492866114069,-2.0488705927710863e-05,-0.002190801886419925
abrothrix_jelskii,-150.89899698439217,-23.47819674409331,-5.491945152993771,3.9596083068789136,0.8236392864930121,-30.734272123227623,-44.98957194581552,-4.0793385139280664e-05,4.5073564406350175e-05,-13.666324066382959,-0.0023950287006577835,0.02339346683384559,5.0552562327394055,-0.15675514721820416,0.001380591218876562,3.7864877674035435,0.17362083400624878,0.00020827693465125043,-0.13336145969713437,-7.089768050993591e-05,-0.001342660650658306,0.0008198507100550365,-0.7217835664891252,-0.014512775227885131,0.013316487896083374,0.0001400935234543984,0.0189118264752391,-0.06149757604756092,-1.6986302094508535e-06,-0.05888492866169382,-2.04887063731834e-05,-0.002190801885916274
abrothrix_lanosus,-150.89899698439217,-23.478196744093307,-5.491945152993765,3.95960830688174,0.8236392864930867,-30.73427212322695,-44.989571945815364,-4.079338509358293e-05,4.5073564512558545e-05,-13.666324066382739,-0.0023950287002932496,0.02339346683302439,5.055256232738591,-0.15675514721841408,0.0013805912187446374,3.7864877674050916,0.17362083400687825,0.0002082769348669116,-0.13336145969681704,-7.089768014371622e-05,-0.0013426606503108816,0.0008198507100035544,-0.7217835664912112,-0.014512775226975468,0.013316487896665829,0.00014009352412243126,0.01891182647526694,-0.06149757604792279,-1.6986308520069885e-06,-0.05888492866267453,-2.048870749955995e-05,-0.0021908018859943834
