canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
abditomys_latidens,Abditomys latidens,Rodentia,Muridae,Abditomys,268.09,,,,,,
abeomelomys_sevia,Abeomelomys sevia,Rodentia,Muridae,Abeomelomys,54.88,,1.0,,,,
abrawayaomys_ruschii,Abrawayaomys ruschii,Rodentia,Cricetidae,Abrawayaomys,62.99,,,,,,
abrocoma_bennettii,Abrocoma bennettii,Rodentia,Abrocomidae,Abrocoma,250.5,,4.86,,,,27.6
abrocoma_boliviensis,Abrocoma boliviensis,Rodentia,Abrocomidae,Abrocoma,158.0,,,,,,
abrocoma_cinerea,Abrocoma cinerea,Rodentia,Abrocomidae,Abrocoma,193.64,109.49,2.19,,,,
abrothrix_andinus,Abrothrix andinus,Rodentia,Cricetidae,Abrothrix,24.91,,,,,,
abrothrix_illuteus,Abrothrix illuteus,Rodentia,Cricetidae,Abrothrix,47.79,,,,,,
abrothrix_jelskii,Abrothrix jelskii,Rodentia,Cricetidae,Abrothrix,34.5,,,,,2.0,
abrothrix_lanosus,Abrothrix lanosus,Rodentia,Cricetidae,Abrothrix,27.83,,,,,,
abrothrix_longipilis,Abrothrix longipilis,Rodentia,Cricetidae,Abrothrix,38.86,,3.7,,,2.0,
abrothrix_olivaceus,Abrothrix olivaceus,Rodentia,Cricetidae,Abrothrix,24.52,,5.34,,0.000448137,2.0,12.0
abrothrix_sanborni,Abrothrix sanborni,Rodentia,Cricetidae,Abrothrix,24.7,,,,,2.0,
acerodon_celebensis,Acerodon celebensis,Chiroptera,Pteropodidae,Acerodon,384.84,,0.98,,,,
acerodon_jubatus,Acerodon jubatus,Chiroptera,Pteropodidae,Acerodon,1087.04,,1.0,,,1.0,
acerodon_mackloti,Acerodon mackloti,Chiroptera,Pteropodidae,Acerodon,467.93,,0.98,,,1.0,
acinonyx_jubatus,Acinonyx jubatus,Carnivora,Felidae,Acinonyx,50577.92,92.24,3.28,91.42,88.27,3.0,228.0
acomys_kempi,Acomys kempi,Rodentia,Muridae,Acomys,21.99,,,,,,
acomys_louisae,Acomys louisae,Rodentia,Muridae,Acomys,20.19,,,,,,
acomys_minous,Acomys minous,Rodentia,Muridae,Acomys,62.5,,,,,,
acomys_percivali,Acomys percivali,Rodentia,Muridae,Acomys,21.99,,,,,,
acomys_russatus,Acomys russatus,Rodentia,Muridae,Acomys,42.35,,2.5,,0.000488186,,
acomys_spinosissimus,Acomys spinosissimus,Rodentia,Muridae,Acomys,26.5,,2.71,,,,
acomys_subspinosus,Acomys subspinosus,Rodentia,Muridae,Acomys,21.92,,,,,,
acomys_wilsoni,Acomys wilsoni,Rodentia,Muridae,Acomys,18.5,,2.29,,,,
aconaemys_sagei,Aconaemys sagei,Rodentia,Octodontidae,Aconaemys,96.49,,,,,,
acrobates_pygmaeus,Acrobates pygmaeus,Diprotodontia,Acrobatidae,Acrobates,13.84,,2.8,97.5,0.005959065,2.0,86.4
addax_nasomaculatus,Addax nasomaculatus,Artiodactyla,Bovidae,Addax,96077.36,262.74,1.0,,,1.0,308.04
aepeomys_lugens,Aepeomys lugens,Rodentia,Cricetidae,Aepeomys,37.0,,,,,,
aepyceros_melampus,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,52591.69,196.74,0.98,150.0,1.97,1.0,213.0
aepyprymnus_rufescens,Aepyprymnus rufescens,Diprotodontia,Potoroidae,Aepyprymnus,2810.31,22.8,1.03,163.07,,,96.0
aeromys_tephromelas,Aeromys tephromelas,Rodentia,Sciuridae,Aeromys,1187.0,,1.07,,,,
aeromys_thomasi,Aeromys thomasi,Rodentia,Sciuridae,Aeromys,1430.19,,,,,,
aethalops_alecto,Aethalops alecto,Chiroptera,Pteropodidae,Aethalops,15.0,,0.99,,,,
aethomys_chrysophilus,Aethomys chrysophilus,Rodentia,Muridae,Aethomys,80.85,26.17,3.09,24.88,,,
aethomys_hindei,Aethomys hindei,Rodentia,Muridae,Aethomys,140.65,24.66,2.05,,0.000609998,,
aethomys_kaiseri,Aethomys kaiseri,Rodentia,Muridae,Aethomys,89.99,27.0,3.0,26.0,,,
ailuropoda_melanoleuca,Ailuropoda melanoleuca,Carnivora,Ursidae,Ailuropoda,117999.99,134.99,1.62,178.98,3.55,1.0,360.0
ailurops_ursinus,Ailurops ursinus,Diprotodontia,Phalangeridae,Ailurops,10000.0,,,,,1.0,
ailurus_fulgens,Ailurus fulgens,Carnivora,Ailuridae,Ailurus,5170.08,131.5,1.7,136.87,1.43,1.0,168.0
akodon_aerosus,Akodon aerosus,Rodentia,Cricetidae,Akodon,59.99,,,,,,
akodon_affinis,Akodon affinis,Rodentia,Cricetidae,Akodon,24.89,,,,,2.0,
akodon_albiventer,Akodon albiventer,Rodentia,Cricetidae,Akodon,25.95,,,,,3.0,
akodon_azarae,Akodon azarae,Rodentia,Cricetidae,Akodon,25.27,23.0,4.59,14.44,,2.0,
akodon_bogotensis,Akodon bogotensis,Rodentia,Cricetidae,Akodon,12.99,,,,,,
akodon_boliviensis,Akodon boliviensis,Rodentia,Cricetidae,Akodon,27.5,,4.86,,,2.0,
akodon_budini,Akodon budini,Rodentia,Cricetidae,Akodon,26.9,,,,,,
akodon_cursor,Akodon cursor,Rodentia,Cricetidae,Akodon,39.84,,,,,2.0,
akodon_dayi,Akodon dayi,Rodentia,Cricetidae,Akodon,32.49,,,,,,
akodon_dolores,Akodon dolores,Rodentia,Cricetidae,Akodon,50.49,,3.89,,,,
akodon_fumeus,Akodon fumeus,Rodentia,Cricetidae,Akodon,22.69,,,,,,
akodon_iniscatus,Akodon iniscatus,Rodentia,Cricetidae,Akodon,28.7,,,,,,
akodon_juninensis,Akodon juninensis,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_kofordi,Akodon kofordi,Rodentia,Cricetidae,Akodon,29.49,,,,,,
akodon_latebricola,Akodon latebricola,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_lindberghi,Akodon lindberghi,Rodentia,Cricetidae,Akodon,26.4,,,,,,
akodon_lutescens,Akodon lutescens,Rodentia,Cricetidae,Akodon,20.69,,,,,,
akodon_mimus,Akodon mimus,Rodentia,Cricetidae,Akodon,23.99,,,,,,
akodon_molinae,Akodon molinae,Rodentia,Cricetidae,Akodon,32.99,23.0,3.77,26.0,,,
akodon_mollis,Akodon mollis,Rodentia,Cricetidae,Akodon,30.39,,,,,,
akodon_neocenus,Akodon neocenus,Rodentia,Cricetidae,Akodon,42.39,,,,,,
akodon_orophilus,Akodon orophilus,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_sanctipaulensis,Akodon sanctipaulensis,Rodentia,Cricetidae,Akodon,27.1,,,,,,
akodon_serrensis,Akodon serrensis,Rodentia,Cricetidae,Akodon,28.3,,,,,,
akodon_siberiae,Akodon siberiae,Rodentia,Cricetidae,Akodon,34.6,,,,,,
akodon_simulator,Akodon simulator,Rodentia,Cricetidae,Akodon,42.5,,,,,,
akodon_spegazzinii,Akodon spegazzinii,Rodentia,Cricetidae,Akodon,28.6,,,,,,
akodon_subfuscus,Akodon subfuscus,Rodentia,Cricetidae,Akodon,30.39,,,,,,
akodon_surdus,Akodon surdus,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_sylvanus,Akodon sylvanus,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_toba,Akodon toba,Rodentia,Cricetidae,Akodon,51.2,,,,,,
akodon_torques,Akodon torques,Rodentia,Cricetidae,Akodon,38.99,,,,,,
akodon_varius,Akodon varius,Rodentia,Cricetidae,Akodon,40.0,,,,,3.0,
alcelaphus_buselaphus,Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphus,160937.86,242.66,1.0,188.73,2.73,1.0,240.0
alcelaphus_caama,Alcelaphus caama,Artiodactyla,Bovidae,Alcelaphus,176115.97,,,,,,183.96
alcelaphus_lichtensteinii,Alcelaphus lichtensteinii,Artiodactyla,Bovidae,Alcelaphus,168695.66,237.0,0.98,,4.41,1.0,
alionycteris_paucidentata,Alionycteris paucidentata,Chiroptera,Pteropodidae,Alionycteris,16.24,,,,,,
allactaga_elater,Allactaga elater,Rodentia,Dipodidae,Allactaga,59.0,,4.47,32.31,,,
allactaga_tetradactyla,Allactaga tetradactyla,Rodentia,Dipodidae,Allactaga,52.0,,,,,,
allenopithecus_nigroviridis,Allenopithecus nigroviridis,Primates,Cercopithecidae,Allenopithecus,4749.96,,1.01,106.15,,,276.0
allocebus_trichotis,Allocebus trichotis,Primates,Cheirogaleidae,Allocebus,78.09,,1.0,,,2.0,
alouatta_belzebul,Alouatta belzebul,Primates,Atelidae,Alouatta,6157.91,,,,,,
alouatta_caraya,Alouatta caraya,Primates,Atelidae,Alouatta,5576.96,185.92,1.01,323.16,,1.0,243.6
alouatta_guariba,Alouatta guariba,Primates,Atelidae,Alouatta,5188.33,,,,0.03,1.0,
alouatta_palliata,Alouatta palliata,Primates,Atelidae,Alouatta,6576.99,185.42,1.02,495.6,0.19,1.0,300.0
alouatta_pigra,Alouatta pigra,Primates,Atelidae,Alouatta,7172.06,185.92,1.01,,0.3,1.0,240.0
alouatta_sara,Alouatta sara,Primates,Atelidae,Alouatta,6611.04,,,,,,
alouatta_seniculus,Alouatta seniculus,Primates,Atelidae,Alouatta,6398.31,189.9,1.42,370.04,0.1,2.0,300.0
alticola_argentatus,Alticola argentatus,Rodentia,Cricetidae,Alticola,37.69,,4.57,,,1.0,
alticola_roylei,Alticola roylei,Rodentia,Cricetidae,Alticola,37.0,,5.44,,,,
alticola_stoliczkanus,Alticola stoliczkanus,Rodentia,Cricetidae,Alticola,30.14,,7.77,,,,
alticola_strelzowi,Alticola strelzowi,Rodentia,Cricetidae,Alticola,49.99,20.85,6.9,17.0,,,
amblysomus_hottentotus,Amblysomus hottentotus,Afrosoricida,Chrysochloridae,Amblysomus,62.6,,1.86,,0.000334208,2.0,12.0
ametrida_centurio,Ametrida centurio,Chiroptera,Phyllostomidae,Ametrida,10.61,,0.98,,,1.0,
ammodillus_imbellis,Ammodillus imbellis,Rodentia,Muridae,Ammodillus,49.99,,,,,,
ammodorcas_clarkei,Ammodorcas clarkei,Artiodactyla,Bovidae,Ammodorcas,28049.81,200.0,1.0,,,,36.0
ammospermophilus_harrisii,Ammospermophilus harrisii,Rodentia,Sciuridae,Ammospermophilus,126.57,29.19,6.32,48.63,,1.0,
ammospermophilus_interpres,Ammospermophilus interpres,Rodentia,Sciuridae,Ammospermophilus,112.53,,9.36,,,2.0,
ammospermophilus_leucurus,Ammospermophilus leucurus,Rodentia,Sciuridae,Ammospermophilus,103.92,29.38,8.0,64.51,0.04,2.0,69.6
ammospermophilus_nelsoni,Ammospermophilus nelsoni,Rodentia,Sciuridae,Ammospermophilus,160.42,26.0,8.9,29.83,0.03,2.0,66.0
ammotragus_lervia,Ammotragus lervia,Artiodactyla,Bovidae,Ammotragus,94202.22,156.24,1.22,121.66,7.06,1.0,252.0
anathana_ellioti,Anathana ellioti,Scandentia,Tupaiidae,Anathana,160.0,,4.84,,,,
andalgalomys_olrogi,Andalgalomys olrogi,Rodentia,Cricetidae,Andalgalomys,32.9,,,,,,
andalgalomys_pearsoni,Andalgalomys pearsoni,Rodentia,Cricetidae,Andalgalomys,25.4,,,,,,
andinomys_edax,Andinomys edax,Rodentia,Cricetidae,Andinomys,69.75,,2.91,,,,
anisomys_imitator,Anisomys imitator,Rodentia,Muridae,Anisomys,510.5,,,,,1.0,
anomalurus_beecrofti,Anomalurus beecrofti,Rodentia,Anomaluridae,Anomalurus,479.07,,0.98,,,,
anomalurus_derbianus,Anomalurus derbianus,Rodentia,Anomaluridae,Anomalurus,665.84,,1.0,,0.04,1.0,
anomalurus_pelii,Anomalurus pelii,Rodentia,Anomaluridae,Anomalurus,1769.99,,2.5,,,,
anomalurus_pusillus,Anomalurus pusillus,Rodentia,Anomaluridae,Anomalurus,250.0,,,,,,
anotomys_leander,Anotomys leander,Rodentia,Cricetidae,Anotomys,66.39,,0.97,,,,
anoura_caudifer,Anoura caudifer,Chiroptera,Phyllostomidae,Anoura,10.81,107.97,0.99,,,2.0,
anoura_cultrata,Anoura cultrata,Chiroptera,Phyllostomidae,Anoura,17.39,,1.22,,,2.0,
anoura_geoffroyi,Anoura geoffroyi,Chiroptera,Phyllostomidae,Anoura,15.15,125.14,0.99,62.5,,2.0,120.0
anoura_latidens,Anoura latidens,Chiroptera,Phyllostomidae,Anoura,15.06,,,,,2.0,
anourosorex_squamipes,Anourosorex squamipes,Soricomorpha,Soricidae,Anourosorex,20.0,,2.82,,,,
antechinomys_laniger,Antechinomys laniger,Dasyuromorphia,Dasyuridae,Antechinomys,25.57,11.74,5.99,91.24,,,39.6
antechinus_agilis,Antechinus agilis,Dasyuromorphia,Dasyuridae,Antechinus,22.13,27.0,10.0,89.99,,,
antechinus_bellus,Antechinus bellus,Dasyuromorphia,Dasyuridae,Antechinus,38.73,30.0,10.08,95.0,,,27.6
antechinus_flavipes,Antechinus flavipes,Dasyuromorphia,Dasyuridae,Antechinus,44.33,28.0,8.54,89.74,,,42.0
antechinus_godmani,Antechinus godmani,Dasyuromorphia,Dasyuridae,Antechinus,75.74,,4.58,111.68,,,
antechinus_leo,Antechinus leo,Dasyuromorphia,Dasyuridae,Antechinus,70.09,30.99,8.19,76.78,,,24.0
antechinus_minimus,Antechinus minimus,Dasyuromorphia,Dasyuridae,Antechinus,52.56,29.27,7.19,99.1,,,24.0
antechinus_stuartii,Antechinus stuartii,Dasyuromorphia,Dasyuridae,Antechinus,29.01,28.15,6.89,89.74,0.008782702,2.0,36.0
antechinus_swainsonii,Antechinus swainsonii,Dasyuromorphia,Dasyuridae,Antechinus,58.69,29.69,8.24,105.66,,2.0,24.0
antidorcas_marsupialis,Antidorcas marsupialis,Artiodactyla,Bovidae,Antidorcas,33571.24,169.49,1.0,57.45,,1.0,240.0
antilocapra_americana,Antilocapra americana,Artiodactyla,Antilocapridae,Antilocapra,47450.01,247.99,1.93,87.54,8.05,1.0,144.0
antilope_cervicapra,Antilope cervicapra,Artiodactyla,Bovidae,Antilope,36301.1,166.59,1.22,59.5,0.62,1.0,243.0
antrozous_pallidus,Antrozous pallidus,Chiroptera,Vespertilionidae,Antrozous,22.24,59.01,1.78,61.1,,3.0,109.2
aonyx_capensis,Aonyx capensis,Carnivora,Mustelidae,Aonyx,19322.22,62.99,2.62,,99.74,2.0,132.0
aonyx_cinerea,Aonyx cinerea,Carnivora,Mustelidae,Aonyx,3527.59,63.31,1.47,79.54,,3.0,121.0
aotus_azarae,Aotus azarae,Primates,Aotidae,Aotus,929.57,,1.0,229.69,,2.0,
aotus_hershkovitzi,Aotus hershkovitzi,Primates,Aotidae,Aotus,800.0,,,,,2.0,
aotus_lemurinus,Aotus lemurinus,Primates,Aotidae,Aotus,865.96,132.23,1.01,74.57,,2.0,216.0
aotus_miconax,Aotus miconax,Primates,Aotidae,Aotus,800.0,,,,,2.0,
aotus_nancymaae,Aotus nancymaae,Primates,Aotidae,Aotus,791.03,,1.02,,,2.0,
aotus_nigriceps,Aotus nigriceps,Primates,Aotidae,Aotus,1057.0,,,,,2.0,
aotus_trivirgatus,Aotus trivirgatus,Primates,Aotidae,Aotus,912.4,133.47,1.06,76.21,0.02,2.0,303.6
aotus_vociferans,Aotus vociferans,Primates,Aotidae,Aotus,872.99,,1.02,,,1.0,
aplodontia_rufa,Aplodontia rufa,Rodentia,Aplodontiidae,Aplodontia,806.21,30.0,2.46,58.4,0.001352133,1.0,120.0
apodemus_agrarius,Apodemus agrarius,Rodentia,Muridae,Apodemus,21.11,19.89,5.64,,,,48.0
apodemus_flavicollis,Apodemus flavicollis,Rodentia,Muridae,Apodemus,31.6,24.5,4.94,,0.001253831,,48.0
apodemus_mystacinus,Apodemus mystacinus,Rodentia,Muridae,Apodemus,43.84,23.0,3.88,,,,
apodemus_semotus,Apodemus semotus,Rodentia,Muridae,Apodemus,25.77,,3.56,,,,
apodemus_speciosus,Apodemus speciosus,Rodentia,Muridae,Apodemus,43.75,,4.47,,,,
apodemus_sylvaticus,Apodemus sylvaticus,Rodentia,Muridae,Apodemus,21.9,23.68,5.16,19.36,0.007114139,2.0,52.8
apodemus_uralensis,Apodemus uralensis,Rodentia,Muridae,Apodemus,18.26,,5.72,,,,
apodemus_witherbyi,Apodemus witherbyi,Rodentia,Muridae,Apodemus,20.66,,,,,,
apomys_abrae,Apomys abrae,Rodentia,Muridae,Apomys,34.88,,,,,,
apomys_datae,Apomys datae,Rodentia,Muridae,Apomys,34.88,,,,,,
apomys_hylocetes,Apomys hylocetes,Rodentia,Muridae,Apomys,34.88,,,,,,
apomys_insignis,Apomys insignis,Rodentia,Muridae,Apomys,34.88,,,,,,
apomys_littoralis,Apomys littoralis,Rodentia,Muridae,Apomys,30.95,,,,,,
apomys_microdon,Apomys microdon,Rodentia,Muridae,Apomys,34.98,,,,,2.0,
apomys_musculus,Apomys musculus,Rodentia,Muridae,Apomys,21.2,,,,0.002683942,2.0,
apomys_sacobianus,Apomys sacobianus,Rodentia,Muridae,Apomys,34.88,,,,,,
aproteles_bulmerae,Aproteles bulmerae,Chiroptera,Pteropodidae,Aproteles,623.91,,1.0,,,1.0,
arborimus_albipes,Arborimus albipes,Rodentia,Cricetidae,Arborimus,23.0,,2.73,,,1.0,
arborimus_longicaudus,Arborimus longicaudus,Rodentia,Cricetidae,Arborimus,22.39,28.11,2.91,30.49,,1.0,
arborimus_pomo,Arborimus pomo,Rodentia,Cricetidae,Arborimus,32.49,32.33,2.0,35.29,,1.0,
archboldomys_luzonensis,Archboldomys luzonensis,Rodentia,Muridae,Archboldomys,35.34,,,,,3.0,
arctictis_binturong,Arctictis binturong,Carnivora,Viverridae,Arctictis,12999.99,92.24,2.5,117.57,,1.0,272.4
arctocebus_aureus,Arctocebus aureus,Primates,Lorisidae,Arctocebus,234.16,,,,,,
arctocebus_calabarensis,Arctocebus calabarensis,Primates,Lorisidae,Arctocebus,258.01,133.74,1.01,109.26,,2.0,156.0
arctogalidia_trivirgata,Arctogalidia trivirgata,Carnivora,Viverridae,Arctogalidia,2323.79,45.95,2.79,49.41,,2.0,190.0
arctonyx_collaris,Arctonyx collaris,Carnivora,Mustelidae,Arctonyx,8166.52,42.89,3.0,165.64,,2.0,167.0
ardops_nichollsi,Ardops nichollsi,Chiroptera,Phyllostomidae,Ardops,19.23,,0.99,,,1.0,
arielulus_circumdatus,Arielulus circumdatus,Chiroptera,Vespertilionidae,Arielulus,10.4,,,,,,
artibeus_amplus,Artibeus amplus,Chiroptera,Phyllostomidae,Artibeus,61.04,,,,,1.0,
artibeus_aztecus,Artibeus aztecus,Chiroptera,Phyllostomidae,Artibeus,20.81,,0.99,,,1.0,
artibeus_cinereus,Artibeus cinereus,Chiroptera,Phyllostomidae,Artibeus,12.7,,0.99,,,1.0,
artibeus_concolor,Artibeus concolor,Chiroptera,Phyllostomidae,Artibeus,19.65,,,,,1.0,
artibeus_fimbriatus,Artibeus fimbriatus,Chiroptera,Phyllostomidae,Artibeus,63.89,,,,,1.0,
artibeus_glaucus,Artibeus glaucus,Chiroptera,Phyllostomidae,Artibeus,12.31,,,,,1.0,
artibeus_gnomus,Artibeus gnomus,Chiroptera,Phyllostomidae,Artibeus,10.06,,,,,,
artibeus_hirsutus,Artibeus hirsutus,Chiroptera,Phyllostomidae,Artibeus,40.42,,0.98,,,1.0,
artibeus_jamaicensis,Artibeus jamaicensis,Chiroptera,Phyllostomidae,Artibeus,43.63,138.7,1.0,,,2.0,120.0
artibeus_lituratus,Artibeus lituratus,Chiroptera,Phyllostomidae,Artibeus,59.3,106.45,1.0,,,1.0,
artibeus_obscurus,Artibeus obscurus,Chiroptera,Phyllostomidae,Artibeus,35.91,,0.98,,,1.0,
artibeus_phaeotis,Artibeus phaeotis,Chiroptera,Phyllostomidae,Artibeus,11.69,,0.99,,,2.0,
artibeus_toltecus,Artibeus toltecus,Chiroptera,Phyllostomidae,Artibeus,15.47,,0.99,,,1.0,
artibeus_watsoni,Artibeus watsoni,Chiroptera,Phyllostomidae,Artibeus,11.2,,1.0,,,,
arvicanthis_abyssinicus,Arvicanthis abyssinicus,Rodentia,Muridae,Arvicanthis,73.34,,,,,,
arvicanthis_blicki,Arvicanthis blicki,Rodentia,Muridae,Arvicanthis,128.0,,,,,,
arvicanthis_niloticus,Arvicanthis niloticus,Rodentia,Muridae,Arvicanthis,95.8,21.99,4.86,21.0,,,
arvicola_amphibius,Arvicola amphibius,Rodentia,Cricetidae,Arvicola,120.0,21.24,4.76,14.0,,,60.0
arvicola_sapidus,Arvicola sapidus,Rodentia,Cricetidae,Arvicola,219.99,,3.21,,,,42.0
asellia_tridens,Asellia tridens,Chiroptera,Hipposideridae,Asellia,12.94,66.1,,,,3.0,
aselliscus_stoliczkanus,Aselliscus stoliczkanus,Chiroptera,Hipposideridae,Aselliscus,6.09,,,,,3.0,
aselliscus_tricuspidatus,Aselliscus tricuspidatus,Chiroptera,Hipposideridae,Aselliscus,4.08,,0.99,,,3.0,
atelerix_albiventris,Atelerix albiventris,Erinaceomorpha,Erinaceidae,Atelerix,293.44,35.99,3.98,59.27,,2.0,
atelerix_algirus,Atelerix algirus,Erinaceomorpha,Erinaceidae,Atelerix,903.98,39.25,2.5,39.7,,2.0,84.0
atelerix_frontalis,Atelerix frontalis,Erinaceomorpha,Erinaceidae,Atelerix,329.12,37.13,4.99,34.8,,2.0,
ateles_belzebuth,Ateles belzebuth,Primates,Atelidae,Ateles,6692.42,138.2,1.02,,2.28,1.0,336.0
ateles_chamek,Ateles chamek,Primates,Atelidae,Ateles,7053.92,,,,1.16,1.0,
ateles_fusciceps,Ateles fusciceps,Primates,Atelidae,Ateles,9067.94,224.7,1.01,482.7,,1.0,288.0
ateles_geoffroyi,Ateles geoffroyi,Primates,Atelidae,Ateles,7582.4,226.37,1.01,816.35,0.73,1.0,327.6
ateles_marginatus,Ateles marginatus,Primates,Atelidae,Ateles,6229.28,,,,,1.0,
ateles_paniscus,Ateles paniscus,Primates,Atelidae,Ateles,8697.25,228.18,1.0,805.41,1.36,2.0,453.6
atelocynus_microtis,Atelocynus microtis,Carnivora,Canidae,Atelocynus,8363.22,,,,,3.0,132.0
atherurus_africanus,Atherurus africanus,Rodentia,Hystricidae,Atherurus,2875.65,108.18,1.5,45.37,0.12,2.0,274.8
atherurus_macrourus,Atherurus macrourus,Rodentia,Hystricidae,Atherurus,2000.0,,1.5,,,2.0,
atilax_paludinosus,Atilax paludinosus,Carnivora,Herpestidae,Atilax,3600.16,77.27,2.0,35.89,1.73,2.0,209.0
atlantoxerus_getulus,Atlantoxerus getulus,Rodentia,Sciuridae,Atlantoxerus,250.57,,,,,,108.0
auliscomys_boliviensis,Auliscomys boliviensis,Rodentia,Cricetidae,Auliscomys,70.91,,3.4,,,,
auliscomys_pictus,Auliscomys pictus,Rodentia,Cricetidae,Auliscomys,48.97,,,,,,
auliscomys_sublimis,Auliscomys sublimis,Rodentia,Cricetidae,Auliscomys,38.0,,,,,,
avahi_laniger,Avahi laniger,Primates,Indriidae,Avahi,1092.28,136.15,1.01,149.15,0.01,1.0,
avahi_occidentalis,Avahi occidentalis,Primates,Indriidae,Avahi,828.98,,1.02,,0.01,1.0,
axis_axis,Axis axis,Artiodactyla,Cervidae,Axis,69499.99,227.49,1.01,121.66,0.67,,249.6
axis_calamianensis,Axis calamianensis,Artiodactyla,Cervidae,Axis,39812.6,224.0,2.0,,,,
axis_kuhlii,Axis kuhlii,Artiodactyla,Cervidae,Axis,54999.99,227.49,1.22,,,1.0,
axis_porcinus,Axis porcinus,Artiodactyla,Cervidae,Axis,37448.29,220.13,1.0,,0.52,1.0,240.0
babyrousa_babyrussa,Babyrousa babyrussa,Artiodactyla,Suidae,Babyrousa,92950.09,156.5,1.73,212.91,,2.0,288.0
baiomys_musculus,Baiomys musculus,Rodentia,Cricetidae,Baiomys,8.99,,2.62,,,1.0,
baiomys_taylori,Baiomys taylori,Rodentia,Cricetidae,Baiomys,7.43,21.99,2.52,20.38,0.000384598,1.0,39.12
balantiopteryx_io,Balantiopteryx io,Chiroptera,Emballonuridae,Balantiopteryx,3.97,,1.0,,,,
balantiopteryx_plicata,Balantiopteryx plicata,Chiroptera,Emballonuridae,Balantiopteryx,6.57,138.81,0.99,58.59,,3.0,
balionycteris_maculata,Balionycteris maculata,Chiroptera,Pteropodidae,Balionycteris,14.43,,1.0,,,1.0,
bandicota_bengalensis,Bandicota bengalensis,Rodentia,Muridae,Bandicota,226.99,18.89,7.29,30.03,,,
bandicota_indica,Bandicota indica,Rodentia,Muridae,Bandicota,583.09,20.26,6.12,27.3,,,
bandicota_savilei,Bandicota savilei,Rodentia,Muridae,Bandicota,260.63,,,,,,
barbastella_barbastellus,Barbastella barbastellus,Chiroptera,Vespertilionidae,Barbastella,8.31,,1.73,,,3.0,252.0
barbastella_leucomelas,Barbastella leucomelas,Chiroptera,Vespertilionidae,Barbastella,15.05,,,,,,
bassaricyon_beddardi,Bassaricyon beddardi,Carnivora,Procyonidae,Bassaricyon,1235.01,,,,,,
bassaricyon_gabbii,Bassaricyon gabbii,Carnivora,Procyonidae,Bassaricyon,1250.0,76.65,1.0,89.49,,2.0,300.0
bassaricyon_lasius,Bassaricyon lasius,Carnivora,Procyonidae,Bassaricyon,1200.0,,,,,,
bassaricyon_pauli,Bassaricyon pauli,Carnivora,Procyonidae,Bassaricyon,1200.0,,,,,,
bassariscus_astutus,Bassariscus astutus,Carnivora,Procyonidae,Bassariscus,1010.37,54.23,3.0,53.84,0.74,2.0,198.0
bassariscus_sumichrasti,Bassariscus sumichrasti,Carnivora,Procyonidae,Bassariscus,906.0,,2.0,119.32,,2.0,276.0
bathyergus_janetta,Bathyergus janetta,Rodentia,Bathyergidae,Bathyergus,388.69,,3.49,27.79,,1.0,
bathyergus_suillus,Bathyergus suillus,Rodentia,Bathyergidae,Bathyergus,777.38,68.41,2.89,20.84,0.002096145,1.0,
batomys_granti,Batomys granti,Rodentia,Muridae,Batomys,169.53,,,,0.001546275,,
batomys_salomonseni,Batomys salomonseni,Rodentia,Muridae,Batomys,185.76,,,,,,
bauerus_dubiaquercus,Bauerus dubiaquercus,Chiroptera,Vespertilionidae,Bauerus,22.22,,1.71,,,3.0,
bdeogale_crassicauda,Bdeogale crassicauda,Carnivora,Herpestidae,Bdeogale,1722.13,,0.96,,,3.0,
bdeogale_jacksoni,Bdeogale jacksoni,Carnivora,Herpestidae,Bdeogale,2500.0,,,,,3.0,
bdeogale_nigripes,Bdeogale nigripes,Carnivora,Herpestidae,Bdeogale,2623.01,,1.0,,,2.0,190.0
beamys_hindei,Beamys hindei,Rodentia,Nesomyidae,Beamys,75.8,22.79,3.49,38.49,,,
beatragus_hunteri,Beatragus hunteri,Artiodactyla,Bovidae,Beatragus,79132.17,252.28,1.0,,,1.0,182.04
berylmys_bowersi,Berylmys bowersi,Rodentia,Muridae,Berylmys,358.68,,3.88,,,,34.8
bettongia_gaimardi,Bettongia gaimardi,Diprotodontia,Potoroidae,Bettongia,1667.55,21.14,1.0,121.32,0.41,,141.6
bettongia_lesueur,Bettongia lesueur,Diprotodontia,Potoroidae,Bettongia,1447.27,21.28,1.0,164.53,,,120.0
bettongia_penicillata,Bettongia penicillata,Diprotodontia,Potoroidae,Bettongia,1184.35,20.35,1.0,150.0,,,72.0
bettongia_tropica,Bettongia tropica,Diprotodontia,Potoroidae,Bettongia,1256.58,19.44,1.0,149.57,,,84.0
bibimys_chacoensis,Bibimys chacoensis,Rodentia,Cricetidae,Bibimys,28.0,,,,,,
bibimys_torresi,Bibimys torresi,Rodentia,Cricetidae,Bibimys,28.0,,,,,,
