canonical_taxon_id,species,order,family,genus,adult_body_mass_g,gestation_length_d,litter_size,weaning_age_d,home_range_km2,trophic_level,max_longevity_m
ichthyomys_tweedii,Ichthyomys tweedii,Rodentia,Cricetidae,Ichthyomys,118.5,,1.94,,,3.0,
ictonyx_libyca,Ictonyx libyca,Carnivora,Mustelidae,Ictonyx,225.18,37.78,2.0,,,2.0,60.0
ictonyx_striatus,Ictonyx striatus,Carnivora,Mustelidae,Ictonyx,811.02,36.76,2.3,59.09,,2.0,160.0
idionycteris_phyllotis,Idionycteris phyllotis,Chiroptera,Vespertilionidae,Idionycteris,12.13,,0.99,,,,38.0
idiurus_macrotis,Idiurus macrotis,Rodentia,Anomaluridae,Idiurus,27.23,,0.97,,,1.0,
idiurus_zenkeri,Idiurus zenkeri,Rodentia,Anomaluridae,Idiurus,100.0,,1.0,,,,
indri_indri,Indri indri,Primates,Indriidae,Indri,8565.48,136.5,1.01,331.34,0.12,1.0,
iomys_horsfieldii,Iomys horsfieldii,Rodentia,Sciuridae,Iomys,155.5,,2.64,,,,
irenomys_tarsalis,Irenomys tarsalis,Rodentia,Cricetidae,Irenomys,43.15,,3.85,,,2.0,
isoodon_auratus,Isoodon auratus,Peramelemorphia,Peramelidae,Isoodon,425.0,12.0,2.6,,0.12,2.0,
isoodon_macrourus,Isoodon macrourus,Peramelemorphia,Peramelidae,Isoodon,1505.77,12.51,3.13,62.99,0.02,2.0,36.0
isoodon_obesulus,Isoodon obesulus,Peramelemorphia,Peramelidae,Isoodon,824.76,15.0,2.33,59.99,0.01,2.0,45.0
isothrix_bistriata,Isothrix bistriata,Rodentia,Echimyidae,Isothrix,444.99,,0.97,,,,
isothrix_pagurus,Isothrix pagurus,Rodentia,Echimyidae,Isothrix,210.0,,,,,,
isthmomys_pirrensis,Isthmomys pirrensis,Rodentia,Cricetidae,Isthmomys,137.71,,2.43,,,2.0,
jaculus_jaculus,Jaculus jaculus,Rodentia,Dipodidae,Jaculus,59.8,33.54,3.24,66.86,,,72.0
jaculus_orientalis,Jaculus orientalis,Rodentia,Dipodidae,Jaculus,138.26,40.0,2.41,,,,
juliomys_pictipes,Juliomys pictipes,Rodentia,Cricetidae,Juliomys,22.9,,,,,,
juscelinomys_candango,Juscelinomys candango,Rodentia,Cricetidae,Juscelinomys,97.29,,,,,2.0,
kannabateomys_amblyonyx,Kannabateomys amblyonyx,Rodentia,Echimyidae,Kannabateomys,599.99,,1.0,,,1.0,19.2
kerivoula_argentata,Kerivoula argentata,Chiroptera,Vespertilionidae,Kerivoula,10.11,,,,,,
kerivoula_flora,Kerivoula flora,Chiroptera,Vespertilionidae,Kerivoula,6.01,,1.0,,,,
kerivoula_hardwickii,Kerivoula hardwickii,Chiroptera,Vespertilionidae,Kerivoula,4.55,,1.0,,,,
kerivoula_lanosa,Kerivoula lanosa,Chiroptera,Vespertilionidae,Kerivoula,6.66,,0.98,,,,
kerivoula_minuta,Kerivoula minuta,Chiroptera,Vespertilionidae,Kerivoula,2.03,,,,,,
kerivoula_muscina,Kerivoula muscina,Chiroptera,Vespertilionidae,Kerivoula,5.29,,,,,,
kerivoula_papillosa,Kerivoula papillosa,Chiroptera,Vespertilionidae,Kerivoula,10.21,,0.98,,,3.0,
kerivoula_pellucida,Kerivoula pellucida,Chiroptera,Vespertilionidae,Kerivoula,4.14,,,,,,
kerivoula_phalaena,Kerivoula phalaena,Chiroptera,Vespertilionidae,Kerivoula,3.03,,,,,,
kerivoula_picta,Kerivoula picta,Chiroptera,Vespertilionidae,Kerivoula,4.5,,1.0,,,,
kerivoula_whiteheadi,Kerivoula whiteheadi,Chiroptera,Vespertilionidae,Kerivoula,3.29,,,,,,
kerodon_rupestris,Kerodon rupestris,Rodentia,Caviidae,Kerodon,799.15,75.89,1.52,34.9,,1.0,132.0
kobus_ellipsiprymnus,Kobus ellipsiprymnus,Artiodactyla,Bovidae,Kobus,204393.48,270.0,1.0,212.91,1.28,1.0,239.04
kobus_kob,Kobus kob,Artiodactyla,Bovidae,Kobus,80035.21,254.76,1.0,188.64,99.57,1.0,263.04
kobus_leche,Kobus leche,Artiodactyla,Bovidae,Kobus,88645.04,229.8,1.0,133.45,,1.0,222.96
kobus_megaceros,Kobus megaceros,Artiodactyla,Bovidae,Kobus,85805.93,,,,,,224.04
kobus_vardonii,Kobus vardonii,Artiodactyla,Bovidae,Kobus,71462.72,258.09,1.0,212.91,,1.0,
kunsia_fronto,Kunsia fronto,Rodentia,Cricetidae,Kunsia,167.99,,,,,1.0,
kunsia_tomentosus,Kunsia tomentosus,Rodentia,Cricetidae,Kunsia,115.6,,,,,,
laephotis_botswanae,Laephotis botswanae,Chiroptera,Vespertilionidae,Laephotis,7.28,,,,,,
laephotis_wintoni,Laephotis wintoni,Chiroptera,Vespertilionidae,Laephotis,6.1,,,,,,
lagidium_peruanum,Lagidium peruanum,Rodentia,Chinchillidae,Lagidium,1220.0,140.0,1.0,40.71,,1.0,234.0
lagidium_viscacia,Lagidium viscacia,Rodentia,Chinchillidae,Lagidium,1539.99,129.99,1.0,1.94,,,
lagidium_wolffsohni,Lagidium wolffsohni,Rodentia,Chinchillidae,Lagidium,2682.0,,,,,,
lagorchestes_conspicillatus,Lagorchestes conspicillatus,Diprotodontia,Macropodidae,Lagorchestes,2821.01,31.09,1.0,204.0,,,72.0
lagorchestes_hirsutus,Lagorchestes hirsutus,Diprotodontia,Macropodidae,Lagorchestes,1407.14,,1.0,150.0,,1.0,96.0
lagostomus_maximus,Lagostomus maximus,Rodentia,Chinchillidae,Lagostomus,4660.94,155.73,1.93,55.68,0.01,1.0,112.8
